Business ID,Accreditation No.,Business Name,CDE,TDC,PDC,TOTAL,Organization Address,Organization Types,Validity,Status,Region
DS-20-0000986,DS-2020-00005-13,SMART DRIVING SCHOOL - ESPAÑA,40,120,120,280,"213 ESPAÑA BLVD, Barangay 586, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1008",Driving School - Main Office,10/13/2024,Expired,NCR
DS-20-0000987,DS-2020-00028-13,SMART DRIVING SCHOOL - SUCAT,0,48,56,104,"8232 DR. A. SANTOS AVE, San Dionisio, PARAÑAQUE CITY, METRO MANILA, FOURTH DISTRICT, 1700",Driving School - Main Office,12/12/2026,Active,NCR
DS-20-0000988,DS-2020-00022-13,SMART DRIVING SCHOOL - MANDALUYONG,0,48,56,104,"74 APO ST. PINATUBO ST. AND CORNER EDSA, Barangka Ilaya, MANDALUYONG CITY, METRO MANILA, SECOND DISTRICT, 1550",Driving School - Main Office,11/07/2026,Active,NCR
DS-20-0001001,DS-2020-00053-04,ALCOAN DRIVING SCHOOL - TAYTAY,0,96,56,152,"65 VELASQUEZ STREET, San Juan, TAYTAY, RIZAL, 1920",Driving School - Main Office,07/14/2026,Active,NCR
DS-20-0001009,DS-2020-0100-13,IRISE DRIVING SCHOOL- ZABARTE,40,48,56,200,"1151 QUIRINO HIGHWAY,CORNER ZABARTE ROAD, Kaligayahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1124",Driving School - Main Office,03/15/2026,Expired,NCR
DS-20-0001022,R04-20-000545,JOHNWADE AUTOMOBILE DRIVING SCHOOL,0,48,56,104,"MANILA EAST ROAD, Tagpos, BINANGONAN, RIZAL, 1940",Driving School - Main Office,10/14/2020,Expired,NCR
DS-20-0001032,DS-2020-00118-13,HPR DRIVING SCHOOL,40,80,80,200,"109 GOVERNOR PASCUAL, Acacia, MALABON CITY, METRO MANILA, THIRD DISTRICT, 1474",Driving School - Main Office,01/03/2025,Expired,NCR
DS-20-0001033,DS-2020-00119-13,HPR DRIVING SCHOOL - ZABARTE,0,56,112,168,"ZABARTE ROAD, Kaligayahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1124",Driving School - Main Office,03/03/2027,Active,NCR
DS-20-0001051,DS20200000913,GLOBE DRIVING SCHOOL,0,48,56,104,"17 FANIO J ARCADE HOLY SPIRIT DRIVE DON ANTONIO, Holy Spirit, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1127",Driving School - Main Office,10/31/2020,Expired,NCR
DS-20-0001205,R13-20-000721,QUEZON CITY LICENSING CENTER,0,48,56,104,"EAST AVENUE, QUEZON CITY, Pinyahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1100",Driving School - Main Office,09/14/2021,Expired,NCR
DS-20-0001438,DS-2020-00121-13,MAJESTY DRIVING SCHOOL,40,80,80,120,"3 ELENITA ST. JOSEFINA VILLAGE, Nagkaisang Nayon, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1125",Driving School - Main Office,03/06/2026,Expired,NCR
DS-20-0003337,DS-2020-00011-13,BLUE CHIP DRIVING SCHOOL - MAKATI,40,80,80,200,"1849,DIAN STREET, Palanan, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1235",Driving School - Main Office,09/17/2026,Active,NCR
DS-20-0003381,DS-2020-00131-13,I LEARN DRIVING SCHOOL,40,160,80,240,"UNIT 103 MJM BUILDING 9516,TAGUIG STREET, Valenzuela, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1208",Driving School - Main Office,09/27/2026,Active,NCR
DS-20-0003665,DS-2020-00127-13,A-PRO DRIVING SCHOOL,0,68,154,222,"L63 N5 O.L.L.A. BLDG.,,JB TAN ST., BF RESORT VILLAGE TALON II, Talon Dos, LAS PIÑAS CITY, METRO MANILA, FOURTH DISTRICT, 1747",Driving School - Main Office,06/24/2026,Active,NCR
DS-20-0003754,DS-2020-00133-13,FTA DRIVING SCHOOL,0,79,0,79,"LTO COMPOUND ALABANG-ZAPOTE ROAD RD., Talon Dos, LAS PIÑAS CITY, METRO MANILA, FOURTH DISTRICT, 1747",Driving School - Main Office,12/04/2026,Active,NCR
DS-20-0004059,DS-2020-00016-13,PRESTIGE DRIVING SCHOOL,0,94,84,178,"1935,ESPANA ST. COR CRAIG SAMPALOC, Barangay 502, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1008",Driving School - Main Office,10/04/2026,Active,NCR
DS-20-0004260,DS-2020-00002-13,RICHBAR INSTITUTE OF TECHNICAL SKILLS INC.,40,48,56,200,"B15 LOT 24 RAINBOW VILL 5 PH 1 CONGRESSIONAL ROAD KALOOKAN CITY, Barangay 173, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1403",Driving School - Main Office,11/19/2026,Active,NCR
DS-20-0004283,DS-2020-00108-13,A-1 DRIVING SCHOOL-AYALA GLORIETTA,0,50,21,71,"3RD FLOOR,GLORIETTA 5, San Lorenzo, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1223",Driving School - Main Office,01/21/2027,Active,NCR
DS-20-0004318,-,ROXAN DELA CRUZ,0,48,56,104,"513 F-CRUZ STREET,513 F-CRUZ STREET, Barangay 171, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1013",Driving School - Main Office,,Pending,NCR
DS-20-0004525,DS-2020-00101-13,REYES DRIVING INSTITUTE,0,70,42,112,"407 CASIM COMPOUND,ALABANG ZAPOTE ROAD, Talon Dos, LAS PIÑAS CITY, METRO MANILA, FOURTH DISTRICT, 1747",Driving School - Main Office,12/16/2026,Active,NCR
DS-20-0004550,DS-2020-00007-08,LTE-ACE DRIVING SCHOOL,40,48,56,200,"GARIDO ST., San Jose (Pob.), SAN JUAN (CABALIAN), SOUTHERN LEYTE, 6611",Driving School - Main Office,07/14/2026,Active,NCR
DS-21-0007439,DS-2021-0001-13,TRACK ONE DRIVING SCHOOL- MALABON,0,100,56,156,"#6 SACRISTA ST., San Agustin, MALABON CITY, METRO MANILA, THIRD DISTRICT, 1470",Driving School - Main Office,01/20/2027,Active,NCR
DS-21-0007466,DS-2021-00004-13,MAJESTY DRIVING SCHOOL -  MALAKAS,40,48,56,200,"62-B MALAKAS ST., Pinyahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1100",Driving School - Main Office,05/07/2027,Active,NCR
DS-21-0007468,DS-2020-00004-13,2EZ DRIVING SCHOOL - MANDALUYONG,0,52,63,115,"52 DOMINGO M GUEVARRA ST GUEVENT, Mauway, MANDALUYONG CITY, METRO MANILA, SECOND DISTRICT, 1550",Driving School - Main Office,09/12/2026,Active,NCR
DS-21-0009326,-,JAPANESE EXPRESS,0,48,56,104,"1248-A SANTIAGO ST PACO MANILA,1248-A SANTIAGO ST PACO MANILA, Barangay 1, MANILA CITY, CITY OF MANILA, 1300",Driving School - Main Office,,Pending,NCR
DS-21-0009383,DS-2020-00020-13,2EZ DRIVING SCHOOL - PASIG,0,46,58,104,"#12 MERCEDEZ AVENUE, San Miguel, PASIG CITY, METRO MANILA, SECOND DISTRICT, 1600",Driving School - Main Office,10/02/2026,Active,NCR
DS-21-0009384,DS-2020-00019-13,2EZ DRIVING SCHOOL - SAMPALOC,0,46,58,104,"1774 ESPAÑA BLVD, Barangay 451, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1008",Driving School - Main Office,09/29/2024,Expired,NCR
DS-21-0009385,DS-2020-00134-13,2EZ DRIVING SCHOOL -  TAGUIG,0,46,58,104,"6F BSJE BLDG 9A GEN LUNA, Tuktukan, TAGUIG CITY (1st DISTRICT), METRO MANILA, FOURTH DISTRICT, 1637",Driving School - Main Office,09/11/2026,Active,NCR
DS-21-0010283,-,AJ3 UNIVERSAL DRIVING SCHOOL,0,48,56,104,"730-A DEL MONTE AVENUE, Talayan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1104",Driving School - Main Office,,Pending,NCR
DS-21-0010333,DS-2020-00125-13,MIAJI TRAINING AND ASSESSMENT CENTRE INC.,40,80,80,200,"BLK 10 LOT 2 UPPER PEACH PALM ST. WHISPERING PALM SUBDIVISION LLANO RD., Barangay 167, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1403",Driving School - Main Office,06/24/2026,Active,NCR
DS-21-0010466,DS-2020-00132-13,UNIVERSAL DRIVING SCHOOL,40,80,80,200,"BLK 128 LOT 23 GROUND FLOOR,JP RIZAL STREET EXTENSION, East Rembo, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1216",Driving School - Main Office,09/21/2024,Expired,NCR
DS-21-0010481,DS-2021-00026-13,GOV DRIVING SCHOOL,0,96,56,152,"SMILE BUILDING,9682 KAMAGONG STREET, San Antonio, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1203",Driving School - Main Office,03/07/2027,Active,NCR
DS-21-0010815,R13-21-002121,TESDA - NAVOTAAS TRAINING INSTITUTE,0,48,56,104,"C3 ROAD COR. VIRGO DRIVE BRGY. NBBS, KAUNLARAN, North Bay Blvd., South, NAVOTAS CITY, METRO MANILA, THIRD DISTRICT, 1409",Driving School - Main Office,06/28/2023,Expired,NCR
DS-21-0010963,R13-21-002142,TESDA - CENTRAL OFFICE,40,80,80,200,"BLDG. 9 TESDA COMPLEX EAST SERVICE ROAD SOUTH SUPER HIGHWAY, Western Bicutan, TAGUIG CITY (2nd DISTRICT), METRO MANILA, FOURTH DISTRICT, 1630",Driving School - Main Office,07/01/2023,Expired,NCR
DS-21-0011104,R00-21-002180,QUEZON CITY LINGKOD BAYAN SKILLS AND DEVELOPMENT CENTER,0,48,56,104,"BARANGAY HALL COMPOUND, DAHLIA AVE, Fairview, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1118",Driving School - Main Office,07/03/2023,Expired,NCR
DS-21-0011106,R00-21-002207,TESDA-NAVOTAAS TRAINING INSTITUTE,0,48,56,104,"M. NAVAL ST., Sipac-Almacen, NAVOTAS CITY, METRO MANILA, THIRD DISTRICT, 1409",Driving School - Main Office,07/03/2023,Expired,NCR
DS-21-0011221,R00-21-002212,PASAY-MAKATI DISTRICT TRAINING AND ASSESSMENT CENTER,0,48,56,104,"GATE 2, TESDA COMPLEX, EAST SERVICE ROAD, SOUTH SUPERHIGHWAY, Western Bicutan, TAGUIG CITY (2nd DISTRICT), METRO MANILA, FOURTH DISTRICT, 1630",Driving School - Main Office,07/03/2023,Expired,NCR
DS-21-0011222,R00-21-002213,MUNTIPARLASTAPAT DISTRICT TRAINING AND ASSESSMENT CENTER,40,80,80,200,"BLDG. 9, (FORMERLY PINOY BAYANIHAN PROJECT) TESDA COMPLEX, EAST SERVICE ROAD, SOUTH LUZON EXPRESSWAY, Western Bicutan, TAGUIG CITY (2nd DISTRICT), METRO MANILA, FOURTH DISTRICT, 1630",Driving School - Main Office,01/19/2027,Active,NCR
DS-21-0011225,R00-21-002221,TESDA WOMEN'S CENTER,0,48,56,104,"TWC BUILDING, TESDA COMPLEX, EAST SERVICE ROAD, SOUTH SUPER HIGHWAY, Western Bicutan, TAGUIG CITY (2nd DISTRICT), METRO MANILA, FOURTH DISTRICT, 1630",Driving School - Main Office,07/02/2023,Expired,NCR
DS-21-0011238,R13-21-002214,QUEZON CITY LINGKOD BAYAN SKILLS DEVELOPMENT CENTER,0,48,56,104,"BRGY. HALL DAHLIA ST. FAIRVIEW QC NOVALICHES, Fairview, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1118",Driving School - Main Office,07/06/2023,Expired,NCR
DS-21-0012249,R00-21-002364,PROVINCIAL TECHNICAL EDUCATION AND SKILLS DEVELOPMENT CENTER (PTESDC) TAYTAY,0,48,56,104,"DON HILARIO AVE., CLUB MANILA EAST COMPOUND, San Juan, TAYTAY, RIZAL, 1920",Driving School - Main Office,07/29/2023,Expired,NCR
DS-21-0014888,-,NONE,0,48,56,104,"28 BISIG NG NAYON ST. SANGANDAAN, CALOOCAN CITY,28 BISIG NG NAYON ST. SANGANDAAN, CALOOCAN CITY, Barangay 4, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1013",Driving School - Main Office,,Pending,NCR
DS-21-0017538,CA-DRV213162125011,MUNTIPALA TAPAT DISTRICT TRAINING AND ASSESSMENT CENTER,0,48,56,104,"EAST SERVICE ROAD, Western Bicutan, TAGUIG CITY (2nd DISTRICT), METRO MANILA, FOURTH DISTRICT, 1630",Driving School - Main Office,10/13/2021,Expired,NCR
DS-21-0018420,-,JELS AND LOR TRAVEL AND TOURS,0,48,56,104,"987 SAN ANDRES ST MALATE MANILA, Mabini, MAYORGA, LEYTE, 6507",Driving School - Main Office,,Pending,NCR
DS-21-0022650,-,NONE,0,48,56,104,"5614 DON PEDRO ST. , Poblacion, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1210",Driving School - Main Office,,Pending,NCR
DS-21-0026483,-,XCEL DRIVING SCHOOL CORP,0,48,56,104,"2ND FLR AVV BLDG #78 F. BLUMENTRITT ST., Pedro Cruz, SAN JUAN CITY, METRO MANILA, SECOND DISTRICT, 1500",Driving School - Main Office,,Pending,NCR
DS-21-0028253,-,JMRA DRIVING SCHOOL,0,48,56,104,"G/F OLD ADMIN BLDG. FTI COMPLEX TAGUIG CITY, Western Bicutan, TAGUIG CITY (2nd DISTRICT), METRO MANILA, FOURTH DISTRICT, 1630",Driving School - Main Office,,Pending,NCR
DS-21-0028621,-,IRISE DRIVING SCHOOL,0,48,56,104,"2ND FLR C.I PLAZA BUILDING CORNER ZABARTE RD. QUIRINO HIGHWAY , Kaligayahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1124",Driving School - Main Office,,Pending,NCR
DS-21-0029127,-,NONE,0,48,56,104,"0616 DAMKA ST.COR SAN LORENZO RUIS ST STA MESA MANILA,0616 DAMKA ST COR.SAN LORENZO RUIS ST STA MESA MANILA, Barangay 598, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1016",Driving School - Main Office,,Pending,NCR
DS-21-0029159,-,LLERAMON DS,0,48,56,104,"UNIT 12 MAJA PLAZA BUILDING, N.AQUINO AVENUE, San Dionisio, PARAÑAQUE CITY, METRO MANILA, FOURTH DISTRICT, 1700",Driving School - Main Office,,Pending,NCR
DS-21-0029793,-,JUSTINE ROSE C. CASABUENA,0,48,56,104,"ROAD 3,B9 L16 PUD SITE BLISS ESCOPA III PROJ 4 QC, Project 4, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1109",Driving School - Main Office,,Pending,NCR
DS-21-0033719,-,2AS DRIVING INSTITUTE,0,48,56,104,"LOT 10&34 B9 MAYOR GIL FERNANDO , Santa Elena, MARIKINA CITY, METRO MANILA, SECOND DISTRICT, 1800",Driving School - Main Office,,Pending,NCR
DS-21-0033854,-,SOLID DRIVING SCHOOL INC.,0,48,56,104,"3-0, 391 ODONA BUILDING, F. ROXAS ST, CORNER 10TH AVENUE CALOOCAN CITY,3-0, 391 ODONA BUILDING, F. ROXAS ST, CORNER 10TH AVENUE CALOOCAN CITY, Barangay 67, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1406",Driving School - Main Office,,Pending,NCR
DS-21-0033872,-,LDM DRIVING INSTITUTE INC.,0,48,56,104,"1151 QUIRINO HI-WAY, ZABARTE RD., Kaligayahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1124",Driving School - Main Office,,Pending,NCR
DS-21-0033950,-,GLOBE DRIVING SCHOOL - DON ANTONIO,0,48,56,104,"17 UNIT N F&J  ARCADE  DON ANTONIO HOLY SPIRIT DRIVE QUEZON CITY ,17 UNIT N F&J  ARCADE  DON ANTONIO HOLY SPIRIT DRIVE QUEZON CITY, Holy Spirit, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1127",Driving School - Main Office,,Pending,NCR
DS-21-0033954,TC2021-00005-13,XCEL DRIVING SCHOOL CORP,0,48,56,104,"454 F BERNARDO STREET, Daang Bakal, MANDALUYONG CITY, METRO MANILA, SECOND DISTRICT, 1550",Driving School - Main Office,10/27/2023,Expired,NCR
DS-21-0033964,-,GLOBE DRIVING SCHOOL,0,48,56,104,"4 CONGRESSIONAL AVE BAHAY TORO QUEZON CITY ,4 CONGRESSIONAL AVE BAHAY TORO QUEZON CITY, Bahay Toro, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1106",Driving School - Main Office,,Pending,NCR
DS-21-0034276,DS-2020-00018-08,TL MABUHAY DRIVING LESSON ACADEMY INC - SAN JUAN,40,48,56,200,"-, Santo NiÃ±o (Pob.), SAN JUAN (CABALIAN), SOUTHERN LEYTE, 6611",Driving School - Main Office,12/02/2026,Active,NCR
DS-21-0034311,DS-2020-00140-13,BES DRIVING SCHOOL,0,104,112,216,"1127 J-2 BLDG QUIRINO HIGHWAY NOVALICHES, Kaligayahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1124",Driving School - Main Office,12/06/2026,Active,NCR
DS-21-0034613,-,MIAJI TRAINING AND ASSESSMENT CENTRE' INC,0,48,56,104,"B10 L2 UPPER PEACH PALM ST WHISPERING PALM,B10 L2 UPPER PEACH PALM ST WHISPERING PALM, Barangay 167, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1403",Driving School - Main Office,,Pending,NCR
DS-22-0034838,DS-2021-00039-13,B3S DRIVING SCHOOL - SAMPALOC,0,57,112,169,"537 SANTOL ST, Barangay 585, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1008",Driving School - Main Office,07/16/2026,Active,NCR
DS-22-0034933,-,RENATO BANGAY,0,48,56,104,"147 WEST BANK RD ROSARIO PASIG CITY,SAME OF THE ABOVE, Rosario, PASIG CITY, METRO MANILA, SECOND DISTRICT, 1609",Driving School - Main Office,,Pending,NCR
DS-22-0035109,-,,0,48,56,104,"147WEST RD ROSARIO PASIG CITY, Rosario, PASIG CITY, METRO MANILA, SECOND DISTRICT, 1609",Driving School - Main Office,,Pending,NCR
DS-22-0035414,-,TALA DRIVING SCHOOL OPC CALOOCAN,0,48,56,104,"GOLDEN CLARION LILY ST. LILLESVILLE SUBD. BRGY 177, CALOOCAN CITY, Barangay 177, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1424",Driving School - Main Office,,Pending,NCR
DS-22-0035500,DS-2020-00018-11,TL MABUHAY DRIVING LESSON ACADEMY SAMAL,40,40,40,120,"PUROK 3B, SITIO PASIG, PeÃ±aplata (Pob.), ISLAND GARDEN CITY OF SAMAL, DAVAO DEL NORTE, 8119",Driving School - Main Office,07/25/2026,Active,NCR
DS-22-0035678,DS-2021-00049-13,NICE ONE DRIVING SCHOOL CORP,0,200,200,400,"M ALMEDA,M ALMEDA, San Roque, PATEROS, METRO MANILA, FOURTH DISTRICT, 1622",Driving School - Main Office,09/25/2024,Expired,NCR
DS-22-0035949,-,KORINA TY NOROÑA,0,48,56,104,"MARY QUEEN OF PEACE MANGGAHAN PARANAQUE CITY, Barangay 1, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1013",Driving School - Main Office,,Pending,NCR
DS-22-0036251,-,ROADWORTHY DRIVING SCHOOL AND TRAINING CENTER,0,48,56,104,"15-E MINDANAO AVE., Bagong Pag-Asa, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1105",Driving School - Main Office,,Pending,NCR
DS-22-0036729,-,EVES DRIVING SCHOOL,0,48,56,104,"2D SPICET BLDG. #30 VISAYAS AVENUE BRGY. BAHAY TORO QUEZON CITY,2D SPICET BLDG. #30 VISAYAS AVENUE BRGY. BAHAY TORO QUEZON CITY, Bahay Toro, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1106",Driving School - Main Office,,Pending,NCR
DS-22-0036801,-,"RICHBAR INSTITUTE OF TECHNICAL SKILLS, INC",0,48,56,104,"BLK 15 LOT 24 CONGRESSIONAL ROAD RAINBOW VILLAGE 5 PHASE 1 BAGUMBONG CALOOCAN CITY, Barangay 171, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1421",Driving School - Main Office,,Pending,NCR
DS-22-0036817,DS-2021-00058-13,GLOBE DRIVING SCHOOL NOVALICHES,40,80,80,200,"544 QUIRINO HIGHWAY NOVALICHES, Talipapa, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1116",Driving School - Main Office,07/21/2023,Expired,NCR
DS-22-0036819,DS-2021-00052-13,GLOBE DRIVING SCHOOL - SIKATUNA,40,80,80,120,"135-3H KAMIAS EXT., Sikatuna Village, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1101",Driving School - Main Office,07/13/2023,Expired,NCR
DS-22-0036820,DS-2020-000-2913,GLOBE DRIVING SCHOOL - DON ANTONIO,40,80,80,200,"17 UNIT N. DR. DON ANTONIO HTS., Holy Spirit, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1127",Driving School - Main Office,11/02/2024,Expired,NCR
DS-22-0036834,DS-2020-00009-13,GLOBE DRIVING SCHOOL - CONGRESSIONAL,0,112,189,301,"4 CONGRESSIONAL AVENUE, Bahay Toro, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1106",Driving School - Main Office,11/22/2026,Active,NCR
DS-22-0036889,DS-2021-00042-13,LDM DRIVING INSTITUTE INC,40,48,56,200,"1151,QUIRINO HIGHWAY, ZABARTE ROAD, Kaligayahan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1124",Driving School - Main Office,07/17/2026,Active,NCR
DS-22-0037486,-,ERROR ROADPRO,0,48,56,104,"35 WEST AVENUE , Nayong Kanluran, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1104",Driving School - Main Office,,Pending,NCR
